learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
5.43E7,71.875,1.0040821507573128E-7,5.43E7,73.66347697974217,44.514006161273784,46.00826703261372,37.565936600973664,5.43E7,5400.0
5.44E7,72.0,1.0058283805847168E-7,5.44E7,73.66366176470588,44.51434267156353,46.008707288343345,37.566091866992416,5.44E7,5400.0
5.45E7,72.140625,1.0077928891405463E-7,5.45E7,73.6634366972477,44.51386263173564,46.00792324167317,37.5655101137124,5.45E7,5400.0
5.46E7,72.28125,1.0097573976963758E-7,5.46E7,73.66305677655677,44.51287885350531,46.007149298643476,37.56418462524933,5.46E7,5400.0
5.47E7,72.4375,1.0119401849806309E-7,5.47E7,73.66320109689214,44.51324925257536,46.00733877753804,37.564479598935094,5.47E7,5400.0
5.48E7,72.578125,1.0139046935364604E-7,5.48E7,73.66367518248175,44.51405206459825,46.00769770548428,37.56505142878995,5.48E7,5400.0
5.49E7,72.71875,1.0158692020922899E-7,5.49E7,73.66363387978141,44.513906896276985,46.00775431603489,37.56476472503225,5.49E7,5400.0
5.5E7,72.84375,1.017615431919694E-7,5.5E7,73.66370363636364,44.51419875306012,46.007848917013824,37.56533673813244,5.5E7,5400.0
5.51E7,72.984375,1.0195799404755235E-7,5.51E7,73.66356987295826,44.513982970087795,46.0077755585555,37.56527436347021,5.51E7,5400.0
5.52E7,73.109375,1.0213261703029275E-7,5.52E7,73.66368115942029,44.51402279181904,46.00805546040649,37.56508411352384,5.52E7,5400.0
5.53E7,73.25,1.023290678858757E-7,5.53E7,73.66341048824593,44.513547320743605,46.00698366029318,37.56462434904088,5.53E7,5400.0
5.54E7,73.375,1.025036908686161E-7,5.54E7,73.66298555956678,44.51287015506067,46.00591515619447,37.56436731651497,5.54E7,5400.0
5.55E7,73.5,1.026783138513565E-7,5.55E7,73.66278198198198,44.512479209410266,46.0052911811923,37.564034944289624,5.55E7,5400.0
5.56E7,73.625,1.0285293683409691E-7,5.56E7,73.66262589928057,44.512232704306165,46.005310834556774,37.56422458780611,5.56E7,5400.0
5.57E7,73.765625,1.0304938768967986E-7,5.57E7,73.66254039497308,44.512134921076765,46.005080466608504,37.564005559072484,5.57E7,5400.0
5.58E7,73.875,1.0320218279957771E-7,5.58E7,73.6621953405018,44.51153056486745,46.00407020659985,37.5634498141921,5.58E7,5400.0
5.59E7,74.0,1.0337680578231812E-7,5.59E7,73.66226296958855,44.511798502623314,46.00438631074958,37.56380259929543,5.59E7,5400.0
5.6E7,74.125,1.0355142876505852E-7,5.6E7,73.66204464285714,44.51126505776763,46.0040522802359,37.56322043247972,5.6E7,5400.0
5.61E7,74.25,1.0372605174779892E-7,5.61E7,73.66239750445632,44.51189543305234,46.00460865296227,37.563485989874344,5.61E7,5400.0
5.62E7,74.375,1.0390067473053932E-7,5.62E7,73.66217081850533,44.511202244765755,46.003926261575536,37.562606185595534,5.62E7,5400.0
5.63E7,74.515625,1.0409712558612227E-7,5.63E7,73.66205506216697,44.511055359490726,46.004290011975854,37.56275562319985,5.63E7,5400.0
5.64E7,74.65625,1.0429357644170523E-7,5.64E7,73.66185106382979,44.510704255086694,46.00365030299419,37.562607764880205,5.64E7,5400.0
5.65E7,74.78125,1.0446819942444563E-7,5.65E7,73.66168672566373,44.51056656069775,46.00349433514,37.562704680888,5.65E7,5400.0
5.66E7,74.90625,1.0464282240718603E-7,5.66E7,73.66151236749117,44.51018709722096,46.00265024707338,37.562349867249274,5.66E7,5400.0
5.67E7,75.03125,1.0481744538992643E-7,5.67E7,73.66178835978836,44.51065786893761,46.00288733962645,37.56260822138654,5.67E7,5400.0
5.68E7,75.171875,1.0501389624550939E-7,5.68E7,73.66188204225352,44.510718031035914,46.00277521688872,37.562448815781565,5.68E7,5400.0
5.69E7,75.296875,1.0518851922824979E-7,5.69E7,73.6619525483304,44.5109288803984,46.00321587931116,37.562784686615046,5.69E7,5400.0
5.7E7,75.421875,1.0536314221099019E-7,5.7E7,73.66202631578948,44.511062763447185,46.00298632522877,37.56285503829934,5.7E7,5400.0
5.71E7,75.5625,1.0555959306657314E-7,5.71E7,73.6620122591944,44.51104681966061,46.003324465172646,37.5626734916129,5.71E7,5400.0
5.72E7,75.6875,1.0573421604931355E-7,5.72E7,73.66227272727272,44.5115356138475,46.003500322039656,37.56306303954048,5.72E7,5400.0
5.73E7,75.828125,1.059306669048965E-7,5.73E7,73.66226003490401,44.51149406125793,46.00299955407779,37.563255290875986,5.73E7,5400.0
5.74E7,75.9375,1.0608346201479435E-7,5.74E7,73.66258362369338,44.512406597852824,46.004212032895914,37.56459980068813,5.74E7,5400.0
5.75E7,76.0625,1.0625808499753475E-7,5.75E7,73.66303652173913,44.51334301156874,46.005187137459366,37.56553838786111,5.75E7,5400.0
5.76E7,76.203125,1.064545358531177E-7,5.76E7,73.66358854166667,44.514244912636826,46.006249985762814,37.56608288640146,5.76E7,5400.0
5.77E7,76.328125,1.066291588358581E-7,5.77E7,73.66343500866552,44.51394234620577,46.005762981818826,37.565873185105566,5.77E7,5400.0
5.78E7,76.46875,1.0682560969144106E-7,5.78E7,73.66332698961938,44.513847846899075,46.005406270682364,37.56611653835043,5.78E7,5400.0
5.79E7,76.59375,1.0700023267418146E-7,5.79E7,73.66306908462867,44.51328046405843,46.00501995845289,37.565476258714746,5.79E7,5400.0
5.8E7,76.734375,1.0719668352976441E-7,5.8E7,73.66329482758621,44.513996576630646,46.00562280266484,37.56675071187886,5.8E7,5400.0
5.81E7,76.859375,1.0737130651250482E-7,5.81E7,73.66341135972462,44.51443515973599,46.00594601024394,37.567414716489665,5.81E7,5400.0
5.82E7,76.984375,1.0754592949524522E-7,5.82E7,73.6634673539519,44.51442689088007,46.0061010696123,37.56721930167852,5.82E7,5400.0
5.83E7,77.125,1.0774238035082817E-7,5.83E7,73.66366037735848,44.51487429201173,46.00663185636592,37.5679768860493,5.83E7,5400.0
5.84E7,77.25,1.0791700333356857E-7,5.84E7,73.663301369863,44.514460049796334,46.00585794816227,37.56809384956525,5.84E7,5400.0
5.85E7,77.390625,1.0811345418915153E-7,5.85E7,73.66351452991454,44.5149284158371,46.00648804832558,37.56858478701158,5.85E7,5400.0
5.86E7,77.515625,1.0828807717189193E-7,5.86E7,73.66390784982934,44.515535187740085,46.00716571512136,37.56885126637785,5.86E7,5400.0
5.87E7,77.640625,1.0846270015463233E-7,5.87E7,73.66379216354343,44.515313759929484,46.00723589153078,37.56855630501546,5.87E7,5400.0
5.88E7,77.765625,1.0863732313737273E-7,5.88E7,73.66386734693877,44.51556854497196,46.0081387112818,37.56910904050686,5.88E7,5400.0
5.89E7,77.90625,1.0883377399295568E-7,5.89E7,73.66383870967742,44.51554213151752,46.0081853016464,37.56920081448211,5.89E7,5400.0
5.9E7,78.03125,1.0900839697569609E-7,5.9E7,73.66362881355933,44.51515235184052,46.00764606162988,37.568967719433,5.9E7,5400.0
5.91E7,78.15625,1.0918301995843649E-7,5.91E7,73.66329272419627,44.51461845234543,46.007110691085295,37.56878266258955,5.91E7,5400.0
5.92E7,78.28125,1.0935764294117689E-7,5.92E7,73.66321114864864,44.51434418973376,46.007051707267735,37.56845389958235,5.92E7,5400.0
5.93E7,78.40625,1.095322659239173E-7,5.93E7,73.66346880269813,44.514773284537426,46.00802752900161,37.5688673477199,5.93E7,5400.0
5.94E7,78.515625,1.0968506103381515E-7,5.94E7,73.66344107744108,44.514771848499166,46.007637868756355,37.56882919894877,5.94E7,5400.0
5.95E7,78.640625,1.0985968401655555E-7,5.95E7,73.66333781512606,44.51446319716051,46.00738653767503,37.56825869729041,5.95E7,5400.0
5.96E7,78.78125,1.100561348721385E-7,5.96E7,73.66334731543624,44.51456705705706,46.00763766532117,37.56854509902593,5.96E7,5400.0
5.97E7,78.90625,1.102307578548789E-7,5.97E7,73.66322948073702,44.51431727369752,46.00770669359712,37.56809494414817,5.97E7,5400.0
5.98E7,79.015625,1.1038355296477675E-7,5.98E7,73.66349163879599,44.51463670153605,46.00793547211986,37.56810809180164,5.98E7,5400.0
5.99E7,79.15625,1.1058000382035971E-7,5.99E7,73.66333055091819,44.51436253087312,46.007495315427846,37.56777222390723,5.99E7,5400.0
