learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.17E7,178.3125,8.074444842835271E-4,3.17E7,99.0282334384858,98.00803716877444,98.0077225730562,97.69656134482233,3.17E7,2.5049776E7,10117.0,6253.0,6253.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.18E7,179.0,8.119037497736931E-4,3.18E7,99.03007232704402,98.01180550094975,98.01151083644943,97.7009164669621,3.18E7,2.5072232E7,10148.0,6273.0,6273.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.19E7,179.671875,8.162691854522567E-4,3.19E7,99.03190595611285,98.01555681957231,98.01527193432612,97.70523187693311,3.19E7,2.511548E7,10171.0,6289.0,6289.0,15.0,3922.9219535940288,0.0,1.0196914683429288
3.2E7,180.8125,8.236977851872026E-4,3.2E7,99.0337,98.01923448918573,98.01897241882163,97.70948158887381,3.2E7,2.5174824E7,10191.0,6299.0,6299.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.21E7,181.5,8.281863415484424E-4,3.21E7,99.035507788162,98.02294804758849,98.02267635795943,97.71379784240327,3.21E7,2.523692E7,10199.0,6303.0,6303.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.22E7,182.15625,8.324761409959242E-4,3.22E7,99.03725465838508,98.02652835016225,98.02624638226771,97.71793394416827,3.22E7,2.5267952E7,10205.0,6306.0,6306.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.23E7,182.84375,8.369753146932154E-4,3.23E7,99.039,98.03010417637536,98.0298168845473,97.72206646790225,3.23E7,2.5296616E7,10236.0,6329.0,6329.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.24E7,183.515625,8.413817692134119E-4,3.24E7,99.04078086419753,98.0337577851295,98.03342756148865,97.72629904134767,3.24E7,2.5351472E7,10256.0,6342.0,6342.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.25E7,184.21875,8.46001274702657E-4,3.25E7,99.04259384615385,98.0374714855896,98.03714435436056,97.73058429630296,3.25E7,2.5396E7,10272.0,6353.0,6353.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.26E7,184.921875,8.506291111633703E-4,3.26E7,99.04434662576686,98.0410640346921,98.04070494699312,97.73473635716043,3.26E7,2.54418E7,10301.0,6372.0,6372.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.27E7,185.640625,8.553689620263568E-4,3.27E7,99.04607645259938,98.04462069953902,98.04426601087019,97.73888140618433,3.27E7,2.5491136E7,10307.0,6375.0,6375.0,15.0,3919.564375297666,0.0,1.0196638743139954
3.28E7,186.328125,8.599080439307731E-4,3.28E7,99.04783231707317,98.04821914268076,98.04784261077572,97.74304255765047,3.28E7,2.5521E7,10317.0,6380.0,6380.0,15.0,3919.564375297666,0.0,1.0196638743139954
